Role,Prompt,Question,Option A,Option B,Option C,Option D,Correct Answer
AR/VR Tester,Analytical Thinking,To what extent does Analytical Thinking excite you?,Very interested,Not very interested,Somewhat interested,Not at all interested,C
Game Animator,API Integration,To what extent does API Integration excite you?,Not at all interested,Not very interested,Somewhat interested,Very interested,D
Product Strategist,Stress Tolerance,Would you like to improve your Stress Tolerance?,Not very interested,Somewhat interested,Not at all interested,Very interested,C
Robotics Engineer,Integrity,Do you feel motivated by activities involving Integrity?,Somewhat interested,Not very interested,Very interested,Not at all interested,B
IT Operations Analyst,Mobile Development,Do you feel motivated by activities involving Mobile Development?,Strongly agree,Disagree,Strongly disagree,Agree,D
IT Operations Analyst,Analytical Thinking,How much do you value Analytical Thinking in your work environment?,Rarely,Never,Neutral,Highly motivated,D
Data Scientist,Oral Expression,To what extent does Oral Expression excite you?,Very interested,Not very interested,Somewhat interested,Not at all interested,C
Frontend Web Developer,Decision Making,Would you like to improve your Decision Making?,Very confident,No experience,Not confident,Somewhat confident,C
Data Engineer,Database Management,How confident are you in your Database Management?,Disagree,Strongly agree,Agree,Strongly disagree,B
Infrastructure Automation Engineer,Initiative,Do you feel motivated by activities involving Initiative?,Somewhat confident,Not confident,No experience,Very confident,D
Frontend Developer,Communication,How much do you value Communication in your work environment?,Definitely not,Not really,Absolutely,Maybe,B
Innovation Manager,Linux Administration,Does the idea of practicing Linux Administration appeal to you?,Highly motivated,Rarely,Never,Neutral,B
Startup Founder,Oral Expression,How confident are you in your Oral Expression?,Definitely not,Not really,Absolutely,Maybe,A
ML Ops Engineer,Database Management,How confident are you in your Database Management?,Somewhat confident,No experience,Very confident,Not confident,A
Robotics Engineer,Communication,Would you enjoy opportunities focused on Communication?,Not at all interested,Somewhat interested,Not very interested,Very interested,D
Web UI Engineer,Cloud Computing,How interested are you in tasks involving Cloud Computing?,Not very interested,Somewhat interested,Not at all interested,Very interested,C
Associate Product Manager,Cloud Computing,How confident are you in your Cloud Computing?,Definitely not,Not really,Maybe,Absolutely,A
Security Analyst,Communication,How confident are you in your Communication?,Very confident,Somewhat confident,No experience,Not confident,B
iOS Developer,Leadership,How interested are you in tasks involving Leadership?,Disagree,Strongly disagree,Strongly agree,Agree,A
Deep Learning Engineer,UI/UX Design,Do you feel motivated by activities involving UI/UX Design?,Highly motivated,Never,Neutral,Rarely,A
Solidity Engineer,Attention to Detail,How much do you value Attention to Detail in your work environment?,Never,Neutral,Rarely,Highly motivated,D
Accessibility Designer,Communication,To what extent does Communication excite you?,Absolutely,Definitely not,Not really,Maybe,B
Infrastructure Engineer,API Integration,Would you enjoy opportunities focused on API Integration?,Somewhat interested,Not at all interested,Very interested,Not very interested,D
Solidity Engineer,DevOps Practices,Do you enjoy working on projects that require DevOps Practices?,Maybe,Definitely not,Absolutely,Not really,C
Build and Release Engineer,Leadership,To what extent does Leadership excite you?,Highly motivated,Rarely,Neutral,Never,D
Entrepreneur-in-Residence,Mobile Development,How confident are you in your Mobile Development?,Definitely not,Absolutely,Maybe,Not really,C
Simulation Developer,Cybersecurity Fundamentals,To what extent does Cybersecurity Fundamentals excite you?,Agree,Strongly agree,Disagree,Strongly disagree,C
Incident Response Specialist,Machine Learning,Do you enjoy working on projects that require Machine Learning?,Neutral,Rarely,Never,Highly motivated,D
Cyber Threat Intelligence Analyst,JavaScript,How much do you value JavaScript in your work environment?,Not really,Maybe,Absolutely,Definitely not,D
Game Programmer,Database Management,Would you enjoy opportunities focused on Database Management?,Agree,Disagree,Strongly disagree,Strongly agree,A
Security Analyst,Integrity,Do you feel motivated by activities involving Integrity?,Strongly agree,Strongly disagree,Disagree,Agree,D
Visual Designer,Critical Thinking,How interested are you in tasks involving Critical Thinking?,Not confident,No experience,Very confident,Somewhat confident,C
Database Developer,Cloud Computing,To what extent does Cloud Computing excite you?,Never,Highly motivated,Neutral,Rarely,C
Technical Co-founder,Cooperation,How much do you value Cooperation in your work environment?,Highly motivated,Never,Neutral,Rarely,B
Technical Support Engineer,Learning Strategies,Do you feel motivated by activities involving Learning Strategies?,Highly motivated,Rarely,Never,Neutral,D
Database Architect,JavaScript,To what extent does JavaScript excite you?,Strongly agree,Disagree,Agree,Strongly disagree,A
System Administrator,System Architecture,Would you enjoy opportunities focused on System Architecture?,Strongly agree,Strongly disagree,Agree,Disagree,A
Solidity Engineer,Version Control (Git),Do you see yourself using Version Control (Git) frequently in your career?,Very interested,Not at all interested,Not very interested,Somewhat interested,D
JavaScript Developer,Team Collaboration,How confident are you in your Team Collaboration?,Disagree,Strongly agree,Strongly disagree,Agree,B
Entrepreneur-in-Residence,Persistence,To what extent does Persistence excite you?,Highly motivated,Rarely,Never,Neutral,A
SDN Engineer,DevOps Practices,Do you feel motivated by activities involving DevOps Practices?,Somewhat interested,Very interested,Not very interested,Not at all interested,B
Backend Web Developer,Persistence,Do you enjoy working on projects that require Persistence?,Strongly agree,Agree,Strongly disagree,Disagree,D
Platform Product Manager,Stress Tolerance,Do you see yourself using Stress Tolerance frequently in your career?,Never,Highly motivated,Rarely,Neutral,B
Crypto Wallet Developer,Time Management,To what extent does Time Management excite you?,No experience,Somewhat confident,Not confident,Very confident,C
Business Technology Consultant,Mobile Development,Would you like to improve your Mobile Development?,Not really,Absolutely,Definitely not,Maybe,A
Platform Product Manager,Creativity,Would you like to improve your Creativity?,No experience,Very confident,Somewhat confident,Not confident,A
iOS Developer,Communication,Do you enjoy working on projects that require Communication?,Somewhat confident,Not confident,No experience,Very confident,C
Product Designer,System Architecture,Do you enjoy working on projects that require System Architecture?,Very confident,Somewhat confident,No experience,Not confident,B
Spatial Computing Engineer,Communication,Do you see yourself using Communication frequently in your career?,Somewhat confident,Very confident,Not confident,No experience,B
DevOps Cloud Engineer,Stress Tolerance,Would you like to improve your Stress Tolerance?,Not very interested,Not at all interested,Very interested,Somewhat interested,D
Growth Hacker,Logical Reasoning,How much do you value Logical Reasoning in your work environment?,No experience,Somewhat confident,Very confident,Not confident,B
Venture Builder,Initiative,Would you enjoy opportunities focused on Initiative?,Somewhat confident,Not confident,No experience,Very confident,C
Penetration Tester,Python Programming,How confident are you in your Python Programming?,Somewhat confident,Very confident,Not confident,No experience,A
iOS Developer,Cloud Computing,Does the idea of practicing Cloud Computing appeal to you?,Strongly disagree,Disagree,Agree,Strongly agree,D
JavaScript Developer,Agile Methodology,How confident are you in your Agile Methodology?,Not at all interested,Somewhat interested,Very interested,Not very interested,D
Game Tester,Machine Learning,Do you feel motivated by activities involving Machine Learning?,No experience,Not confident,Somewhat confident,Very confident,C
Helpdesk Technician,Initiative,Do you see yourself using Initiative frequently in your career?,Not confident,Very confident,Somewhat confident,No experience,D
ML Ops Engineer,Cybersecurity Fundamentals,Would you like to improve your Cybersecurity Fundamentals?,Agree,Disagree,Strongly agree,Strongly disagree,D
Game Designer,Python Programming,Do you feel motivated by activities involving Python Programming?,Disagree,Strongly agree,Agree,Strongly disagree,C
Cloud Security Specialist,System Architecture,How much do you value System Architecture in your work environment?,Maybe,Definitely not,Absolutely,Not really,A
Technical Support Engineer,DevOps Practices,How interested are you in tasks involving DevOps Practices?,Not really,Absolutely,Maybe,Definitely not,C
IoT Security Analyst,Critical Thinking,Would you enjoy opportunities focused on Critical Thinking?,Absolutely,Not really,Maybe,Definitely not,B
iOS Developer,Cloud Computing,How much do you value Cloud Computing in your work environment?,Rarely,Never,Neutral,Highly motivated,B
